indicator,name,source,frequency,first_nonnull_as_of,first_selected_source_period,first_value,strict_first_data_period,strict_original_period_count
CN_OECD_CPI_INDEX,OECD China consumer prices,OECD,M,2005-01-31,2004-10,104.3,1993-01,400
CN_OECD_INDUSTRIAL_PRODUCTION,OECD China industrial production,OECD,M,2005-01-31,2004-08,115.9,1999-01,308
CN_CPI_YOY,居民消费价格同比,NBS,M,2005-02-28,2005-01,1.9,2005-01,81
CN_INDUSTRIAL_VALUE_ADDED_YOY,规模以上工业增加值同比,NBS,M,2005-02-28,2005-01,20.9,2005-01,41
CN_PPI_YOY,工业生产者出厂价格同比,NBS,M,2005-02-28,2005-01,5.8,2005-01,85
CN_RETAIL_SALES_YOY,社会消费品零售总额同比,NBS,M,2005-03-31,2005-02,15.8,2005-01,42
CN_GENERAL_BUDGET_EXPENDITURE_YTD_YOY,一般公共预算支出累计同比,MOF,M,2008-09-30,2008-08,28.1,2008-08,181
CN_GENERAL_BUDGET_REVENUE_YTD_YOY,一般公共预算收入累计同比,MOF,M,2008-09-30,2008-08,28.4,2008-08,188
CN_NONTAX_REVENUE_YTD_YOY,非税收入累计同比,MOF,M,2008-12-31,2008-11,-7.3,2008-11,181
CN_TAX_REVENUE_YTD_YOY,税收收入累计同比,MOF,M,2009-04-30,2009-03,-10.3,2009-03,183
CN_LAND_SALE_REVENUE_YTD_YOY,国有土地出让收入累计同比,MOF,M,2012-07-31,2012-06,-19.0,2012-06,124
CN_GOV_FUND_EXPENDITURE_YTD_YOY,政府性基金预算支出累计同比,MOF,M,2012-10-31,2012-09,-14.0,2012-09,131
CN_GOV_FUND_REVENUE_YTD_YOY,政府性基金预算收入累计同比,MOF,M,2014-01-31,2013-12,39.2,2013-12,130
CN_PMI_COMPOSITE,综合PMI产出指数,NBS,M,2021-09-30,2021-09,51.7,2021-09,59
CN_PMI_EMPLOYMENT,制造业PMI从业人员指数,NBS,M,2021-09-30,2021-09,49.0,2021-09,59
CN_PMI_MANUFACTURING,制造业采购经理指数,NBS,M,2021-09-30,2021-09,49.6,2021-09,59
CN_PMI_NEW_ORDERS,制造业PMI新订单指数,NBS,M,2021-09-30,2021-09,49.3,2021-09,59
CN_PMI_NONMANUFACTURING,非制造业商务活动指数,NBS,M,2021-09-30,2021-09,53.2,2021-09,59
CN_PMI_PRODUCTION,制造业PMI生产指数,NBS,M,2021-09-30,2021-09,49.5,2021-09,59
CN_PMI_RAW_MATERIAL_INVENTORY,制造业PMI原材料库存指数,NBS,M,2021-09-30,2021-09,48.2,2021-09,59
CN_PMI_SUPPLIER_DELIVERY,制造业PMI供应商配送时间指数,NBS,M,2021-09-30,2021-09,48.1,2021-09,59
CN_GDP_YOY,国内生产总值同比,NBS,Q,2021-10-31,2021-Q3,4.9,2021-Q3,20
CN_FAI_YTD_YOY,固定资产投资累计同比,NBS,M,2022-04-30,2022-03,9.3,2022-03,33
CN_INFRA_INVESTMENT_YTD_YOY,基础设施投资累计同比,NBS,M,2022-04-30,2022-03,8.5,2022-03,34
CN_MANUFACTURING_INVESTMENT_YTD_YOY,制造业投资累计同比,NBS,M,2022-04-30,2022-03,15.6,2022-03,34
CN_NEW_HOME_SALES_AREA_YTD_YOY,新建商品房销售面积累计同比,NBS,M,2022-04-30,2022-03,-13.8,2022-03,33
CN_NEW_HOME_SALES_VALUE_YTD_YOY,新建商品房销售额累计同比,NBS,M,2022-04-30,2022-03,-22.7,2022-03,33
CN_REAL_ESTATE_INVESTMENT_YTD_YOY,房地产开发投资累计同比,NBS,M,2022-04-30,2022-03,0.7,2022-03,33
CN_SERVICE_PRODUCTION_YOY,服务业生产指数同比,NBS,M,2022-04-30,2022-03,-0.9,2022-03,33
CN_URBAN_SURVEYED_UNEMPLOYMENT,城镇调查失业率,NBS,M,2022-04-30,2022-03,5.8,2022-03,34
CN_BANK_FX_NET_SETTLEMENT_USD,银行结售汇差额,SAFE,M,2024-08-31,2024-07,-54.5,2024-07,24
CN_BANK_FX_SALES_USD,银行售汇,SAFE,M,2024-08-31,2024-07,239.2,2024-07,24
CN_BANK_FX_SETTLEMENT_USD,银行结汇,SAFE,M,2024-08-31,2024-07,184.7,2024-07,24
CN_CROSS_BORDER_NET_RECEIPTS_USD,涉外收付款差额,SAFE,M,2024-08-31,2024-07,-13.799999999999956,2024-07,24
CN_CROSS_BORDER_PAYMENTS_USD,对外付款,SAFE,M,2024-08-31,2024-07,635.9,2024-07,24
CN_CROSS_BORDER_RECEIPTS_USD,涉外收入,SAFE,M,2024-08-31,2024-07,622.1,2024-07,24
CN_FX_RESERVE_USD,外汇储备,SAFE,M,2024-09-30,2024-08,3288.2,2024-08,23
CN_M0_YOY,M0同比,PBOC,M,2026-06-30,2026-05,11.9,2026-05,2
CN_M1_YOY,M1同比,PBOC,M,2026-06-30,2026-05,5.5,2026-05,2
CN_M2_YOY,M2同比,PBOC,M,2026-06-30,2026-05,8.6,2026-05,2
CN_NEW_RMB_DEPOSITS_YTD,新增人民币存款累计,PBOC,M,2026-06-30,2026-05,15.77,2026-05,2
CN_NEW_RMB_LOANS_YTD,新增人民币贷款累计,PBOC,M,2026-06-30,2026-05,9.0,2026-05,2
CN_RMB_DEPOSIT_BAL_YOY,人民币存款余额同比,PBOC,M,2026-06-30,2026-05,8.7,2026-05,2
CN_RMB_LOAN_BAL_YOY,人民币贷款余额同比,PBOC,M,2026-06-30,2026-05,5.5,2026-05,2
CN_TSF_FLOW_YTD,社会融资规模增量累计,PBOC,M,2026-06-30,2026-05,17.48,2026-05,2
CN_TSF_STOCK,社会融资规模存量,PBOC,M,2026-06-30,2026-05,458.81,2026-05,2
CN_TSF_STOCK_YOY,社会融资规模存量同比,PBOC,M,2026-06-30,2026-05,7.7,2026-05,2
